cv	name	description	dbxref	is_obsolete	is_relationship
NCBI-BioSample-Packages_Model.organism.animal.1.0	strain	microbial or eukaryotic strain name	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	isolate	identification or description of the specific individual from which this sample was obtained	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	breed	breed name - chiefly used in domesticated animals or plants	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	cultivar	cultivar name - cultivated variety of plant	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	ecotype	a population within a given species displaying genetically based, phenotypic traits that reflect adaptation to a local habitat, e.g., Columbia	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	age	age at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	development stage	Developmental stage at the time of sampling.	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	sex	physical sex of sampled organism	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	tissue	Type of tissue the sample was taken from.	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	biomaterial provider	name and address of the lab or PI, or a culture collection identifier	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	birth date		NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	birth location		NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	breeding history		NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	breeding method		NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	cell line	Name of the cell line.	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	cell subtype		NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	cell type	Type of cell of the sample or from which the sample was obtained.	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	collected by	Name of persons or institute who collected the sample	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	collection date	Date of sampling, in "DD-Mmm-YYYY", "Mmm-YYYY" or "YYYY" format (eg., 30-Oct-1990, Oct-1990 or 1990) or ISO 8601 standard "YYYY-mm-dd", "YYYY-mm" or "YYYY-mm-ddThh:mm:ss" (eg., 1990-10-30, 1990-10 or 1990-10-30T14:41:36)	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	culture collection	Name of source institute and unique culture identifier. See the description for the proper format and list of allowed institutes, http://www.insdc.org/controlled-vocabulary-culturecollection-qualifier	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	death date		NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	disease	list of diseases diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), free text for non-human. For DO terms, please see http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	disease stage	stage of disease at the time of sampling.	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	genotype	observed genotype	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	geographic location	Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg "Canada: Vancouver" or "Germany: halfway down Zugspitze, Alps"	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	growth protocol		NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	health state	Health or disease status of sample at time of collection	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	isolation source	Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived.	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	latitude and longitude	The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format "d[d.dddd] N|S d[dd.dddd] W|E", eg, 38.98 N 77.11 W	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	phenotype	Phenotype of sampled organism. For Phenotypic quality Ontology (PATO) (v1.269) terms, please see http://bioportal.bioontology.org/visualize/44601	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	sample type	Sample type, such as cell culture, mixed culture, tissue sample, whole organism, single cell, metagenomic assembly	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	specimen voucher	Identifier for the physical specimen. Use format: "[&lt;institution-code&gt;:[&lt;collection-code&gt;:]]&lt;specimen_id&gt;", eg, "UAM:Mamm:52179". Intended as a reference to the physical specimen that remains after it was analyzed. If the specimen was destroyed in the process of analysis, electronic images (e-vouchers) are an adequate substitute for a physical voucher specimen. Ideally the specimens will be deposited in a curated museum, herbarium, or frozen tissue collection, but often they will remain in a personal or laboratory collection for some time before they are deposited in a curated collection. There are three forms of specimen_voucher qualifiers. If the text of the qualifier includes one or more colons it is a 'structured voucher'. Structured vouchers include institution-codes (and optional collection-codes) taken from a controlled vocabulary maintained by the INSDC that denotes the museum or herbarium collection where the specimen resides, please visit: http://www.insdc.org/controlled-vocabulary-specimenvoucher-qualifier.	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	storage conditions	explain how and for how long the soil sample was stored before DNA extraction.	NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	stud book number		NULL	0	0
NCBI-BioSample-Packages_Model.organism.animal.1.0	treatment		NULL	0	0
