cv	name	description	dbxref	is_obsolete	is_relationship
NCBI-BioSample-Packages-Attributes	host family relationship		NULL	0	0
NCBI-BioSample-Packages-Attributes	investigation type	Nucleic Acid Sequence Report is the root element of all MIGS/MIMS compliant reports as standardized by Genomic Standards Consortium. This field is either eukaryote,bacteria,virus,plasmid,organelle, metagenome, miens-survey or miens-culture	NULL	0	0
NCBI-BioSample-Packages-Attributes	inorganic particles	concentration of particles such as sand, grit, metal particles, ceramics, etc.; can include multiple particles	NULL	0	0
NCBI-BioSample-Packages-Attributes	passage history	Number of passages and passage method	NULL	0	0
NCBI-BioSample-Packages-Attributes	derived from	indicates where one BioSample was derived from another BioSample	NULL	0	0
NCBI-BioSample-Packages-Attributes	study disease	dbgap_public dictionary	NULL	0	0
NCBI-BioSample-Packages-Attributes	sample type	Sample type, such as cell culture, mixed culture, tissue sample, whole organism, single cell, metagenomic assembly	NULL	0	0
NCBI-BioSample-Packages-Attributes	oxygen	oxygen (gas) amount or concentration at the time of sampling	NULL	0	0
NCBI-BioSample-Packages-Attributes	race		NULL	0	0
NCBI-BioSample-Packages-Attributes	host body habitat	original body habitat where the sample was obtained from	NULL	0	0
NCBI-BioSample-Packages-Attributes	nose throat disorder	history of nose-throat disorders; can include multiple disorders	NULL	0	0
NCBI-BioSample-Packages-Attributes	kidney disorder	history of kidney disorders; can include multiple disorders	NULL	0	0
NCBI-BioSample-Packages-Attributes	birth date		NULL	0	0
NCBI-BioSample-Packages-Attributes	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen	NULL	0	0
NCBI-BioSample-Packages-Attributes	extreme salinity	measured salinity	NULL	0	0
NCBI-BioSample-Packages-Attributes	NARMS isolate number	isolate identifier for the collection of isolates in the National Antimicrobial Resistance Monitoring System, authority http://www.cdc.gov/narms/about/index.html, e.g., CVM N6429	NULL	0	0
NCBI-BioSample-Packages-Attributes	label	a label for sample, or name of an individual animal (e.g., Clint)	NULL	0	0
NCBI-BioSample-Packages-Attributes	affection status	dbgap_public dictionary	NULL	0	0
NCBI-BioSample-Packages-Attributes	potassium	concentration of potassium	NULL	0	0
NCBI-BioSample-Packages-Attributes	growth protocol		NULL	0	0
NCBI-BioSample-Packages-Attributes	volatile organic compounds	concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound	NULL	0	0
NCBI-BioSample-Packages-Attributes	molecular data type	Type of molecular (omics) data tied to this sample	NULL	0	0
NCBI-BioSample-Packages-Attributes	salinity	salinity measurement	NULL	0	0
NCBI-BioSample-Packages-Attributes	propagation	phage: lytic/lysogenic/temperate/obligately lytic; plasmid: incompatibility group; eukaryote: asexual/sexual	NULL	0	0
NCBI-BioSample-Packages-Attributes	menopause	date of onset of menopause	NULL	0	0
NCBI-BioSample-Packages-Attributes	depth	Depth is defined as the vertical distance below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples.	NULL	0	0
NCBI-BioSample-Packages-Attributes	host life stage	description of host life stage	NULL	0	0
NCBI-BioSample-Packages-Attributes	biovar	A biovar is a variant prokaryotic strain that differs physiologically and/or biochemically from other strains in a particular species.	NULL	0	0
