cv	name	description	dbxref	is_obsolete	is_relationship
NCBI-BioSample-Packages_Invertebrate.1.0	isolate	identification or description of the specific individual from which this sample was obtained	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	breed	breed name - chiefly used in domesticated animals or plants	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	host	The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, "Homo sapiens".	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	isolation source	Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived.	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	collection date	Date of sampling, in "DD-Mmm-YYYY", "Mmm-YYYY" or "YYYY" format (eg., 30-Oct-1990, Oct-1990 or 1990) or ISO 8601 standard "YYYY-mm-dd", "YYYY-mm" or "YYYY-mm-ddThh:mm:ss" (eg., 1990-10-30, 1990-10 or 1990-10-30T14:41:36)	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	geographic location	Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg "Canada: Vancouver" or "Germany: halfway down Zugspitze, Alps"	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	tissue	Type of tissue the sample was taken from.	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	age	age at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	altitude	The altitude of the sample is the vertical distance between Earth's surface above Sea Level and the sampled position in the air.	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	biomaterial provider	name and address of the lab or PI, or a culture collection identifier	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	collected by	Name of persons or institute who collected the sample	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	depth	Depth is defined as the vertical distance below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples.	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	development stage	Developmental stage at the time of sampling.	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	environment biome	descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	host tissue sampled	Type of tissue the initial sample was taken from. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1005)	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	identified by	name of the taxonomist who identified the specimen	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	latitude and longitude	The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format "d[d.dddd] N|S d[dd.dddd] W|E", eg, 38.98 N 77.11 W	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	sex	physical sex of sampled organism	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	specimen voucher	Identifier for the physical specimen. Use format: "[&lt;institution-code&gt;:[&lt;collection-code&gt;:]]&lt;specimen_id&gt;", eg, "UAM:Mamm:52179". Intended as a reference to the physical specimen that remains after it was analyzed. If the specimen was destroyed in the process of analysis, electronic images (e-vouchers) are an adequate substitute for a physical voucher specimen. Ideally the specimens will be deposited in a curated museum, herbarium, or frozen tissue collection, but often they will remain in a personal or laboratory collection for some time before they are deposited in a curated collection. There are three forms of specimen_voucher qualifiers. If the text of the qualifier includes one or more colons it is a 'structured voucher'. Structured vouchers include institution-codes (and optional collection-codes) taken from a controlled vocabulary maintained by the INSDC that denotes the museum or herbarium collection where the specimen resides, please visit: http://www.insdc.org/controlled-vocabulary-specimenvoucher-qualifier.	NULL	0	0
NCBI-BioSample-Packages_Invertebrate.1.0	temperature	temperature of the sample at time of sampling	NULL	0	0
