# Assembly Statistics Report
# Assembly name:  CanFam3.1
# Organism name:  Canis lupus familiaris (dog)
# Infraspecific name:  breed=boxer
# Sex:  female
# Taxid:          9615
# BioSample:      SAMN02953603
# BioProject:     PRJNA13179
# Submitter:      Dog Genome Sequencing Consortium
# Date:           2011-11-2
# Synonyms:       canFam3	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAEX03
# Assembly method: Arachne v. April 2010
# Genome coverage: 7x plus >90Mb finished sequence
# Sequencing technology: Sanger
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002285.2
# RefSeq assembly accession: GCF_000002285.3
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000145.2	GCF_000000145.2	Primary Assembly
## 	GCF_000184225.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2410976875
all	all	all	all	spanned-gaps	23796
all	all	all	all	unspanned-gaps	80
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	3310
all	all	all	all	scaffold-N50	45876610
all	all	all	all	scaffold-L50	20
all	all	all	all	scaffold-N75	29585187
all	all	all	all	scaffold-N90	13298980
all	all	all	all	contig-count	27106
all	all	all	all	contig-N50	267478
all	all	all	all	total-gap-length	18261639
all	all	all	all	molecule-count	40
all	all	all	all	top-level-count	3268
Primary Assembly	all	all	all	total-length	2410960148
Primary Assembly	all	all	all	ungapped-length	2392698509
Primary Assembly	all	all	all	scaffold-count	3309
Primary Assembly	all	all	all	scaffold-N50	45876610
Primary Assembly	all	all	all	spanned-gaps	23796
Primary Assembly	all	all	all	unspanned-gaps	80
Primary Assembly	all	all	assembled-molecule	total-length	2327633984
Primary Assembly	all	all	assembled-molecule	ungapped-length	2317593971
Primary Assembly	all	all	assembled-molecule	scaffold-count	81
Primary Assembly	all	all	assembled-molecule	scaffold-N50	47698679
Primary Assembly	all	all	assembled-molecule	spanned-gaps	19473
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	80
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	83326164
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	75104538
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	3228
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	64123
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	4323
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	122678785
Primary Assembly	1	Chromosome	all	ungapped-length	122070623
Primary Assembly	1	Chromosome	all	scaffold-count	2
Primary Assembly	1	Chromosome	all	scaffold-N50	69553653
Primary Assembly	1	Chromosome	all	spanned-gaps	1120
Primary Assembly	1	Chromosome	all	unspanned-gaps	2
Primary Assembly	1	Chromosome	assembled-molecule	total-length	122678785
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	122070623
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	69553653
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1120
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	2
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	85426708
Primary Assembly	2	Chromosome	all	ungapped-length	84986334
Primary Assembly	2	Chromosome	all	scaffold-count	4
Primary Assembly	2	Chromosome	all	scaffold-N50	45293151
Primary Assembly	2	Chromosome	all	spanned-gaps	824
Primary Assembly	2	Chromosome	all	unspanned-gaps	4
Primary Assembly	2	Chromosome	assembled-molecule	total-length	85426708
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	84986334
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	4
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	45293151
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	824
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	4
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	91889043
Primary Assembly	3	Chromosome	all	ungapped-length	91547408
Primary Assembly	3	Chromosome	all	scaffold-count	3
Primary Assembly	3	Chromosome	all	scaffold-N50	54667354
Primary Assembly	3	Chromosome	all	spanned-gaps	704
Primary Assembly	3	Chromosome	all	unspanned-gaps	3
Primary Assembly	3	Chromosome	assembled-molecule	total-length	91889043
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	91547408
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	3
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	54667354
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	704
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	3
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	88276631
Primary Assembly	4	Chromosome	all	ungapped-length	88054606
Primary Assembly	4	Chromosome	all	scaffold-count	2
Primary Assembly	4	Chromosome	all	scaffold-N50	77783465
Primary Assembly	4	Chromosome	all	spanned-gaps	620
Primary Assembly	4	Chromosome	all	unspanned-gaps	2
Primary Assembly	4	Chromosome	assembled-molecule	total-length	88276631
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	88054606
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	77783465
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	620
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	2
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	88915250
Primary Assembly	5	Chromosome	all	ungapped-length	88556672
Primary Assembly	5	Chromosome	all	scaffold-count	4
Primary Assembly	5	Chromosome	all	scaffold-N50	56102407
Primary Assembly	5	Chromosome	all	spanned-gaps	888
Primary Assembly	5	Chromosome	all	unspanned-gaps	4
Primary Assembly	5	Chromosome	assembled-molecule	total-length	88915250
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	88556672
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	4
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	56102407
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	888
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	4
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	total-length	77573801
Primary Assembly	6	Chromosome	all	ungapped-length	77066678
Primary Assembly	6	Chromosome	all	scaffold-count	5
Primary Assembly	6	Chromosome	all	scaffold-N50	59841912
Primary Assembly	6	Chromosome	all	spanned-gaps	781
Primary Assembly	6	Chromosome	all	unspanned-gaps	5
Primary Assembly	6	Chromosome	assembled-molecule	total-length	77573801
Primary Assembly	6	Chromosome	assembled-molecule	ungapped-length	77066678
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-count	5
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-N50	59841912
Primary Assembly	6	Chromosome	assembled-molecule	spanned-gaps	781
Primary Assembly	6	Chromosome	assembled-molecule	unspanned-gaps	5
Primary Assembly	6	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	total-length	80974532
Primary Assembly	7	Chromosome	all	ungapped-length	80608032
Primary Assembly	7	Chromosome	all	scaffold-count	4
Primary Assembly	7	Chromosome	all	scaffold-N50	61909399
Primary Assembly	7	Chromosome	all	spanned-gaps	603
Primary Assembly	7	Chromosome	all	unspanned-gaps	4
Primary Assembly	7	Chromosome	assembled-molecule	total-length	80974532
Primary Assembly	7	Chromosome	assembled-molecule	ungapped-length	80608032
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-count	4
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-N50	61909399
Primary Assembly	7	Chromosome	assembled-molecule	spanned-gaps	603
Primary Assembly	7	Chromosome	assembled-molecule	unspanned-gaps	4
Primary Assembly	7	Chromosome	unlocalized-scaffold	total-length	0
